id,crime_type,date,time,location,incident_description,vehicle_description,age,eye_color,hair_color,height,race,sex,weight,additional_description,weapon,email_from,email_subject,message_id
18,N/A,2024-11-30,8:27 p.m.,"In the parking lot behind La Barca's, located at 2414 Vermont Avenue",A suspect robbed two victims at gunpoint and pistol whipped one of the victims. The suspect fled from the location in an unknown direction of travel. The victims are not affiliated with USC.,N/A,35,N/A,N/A,N/A,Hispanic,Male,250 pounds,"Wearing a black ski mask, black sweater, and black pants",Semi-automatic handgun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Aggravated Assault & Robbery,19380dffe353792f
19,Aggravated Assault,2024-11-28,7:55 a.m.,Flower Street Parking Structure located at 3701 Flower Street,The three suspects approached the victim and punched and kicked him. The suspects were last seen in the area of 37th Street and Flower Street. Neither the victim nor the three suspects are affiliated with USC.,N/A,N/A,N/A,Black,N/A,Black,Male,Thin Build,Wearing a black hooded sweatshirt and blue jeans,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Aggravated Assault,19373ef0fc1cb06a
20,Lewd Conduct,2024-11-24,8:15 a.m.,On campus at the McClintock Avenue entrance,"The suspect drove in to the McClintock entrance of campus and up to the victim. The suspect rolled down his window, made inappropriate comments towards the victim and performed a lewd act. The suspect then made a U-turn out of the entrance to campus and was last seen driving westbound on Jefferson Boulevard.",White 4-door Honda Civic,30,N/A,N/A,N/A,Hispanic,Male,N/A,Wearing a black USC hoodie,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Lewd Conduct,193607512be85b69
21,Attempt Robbery,2024-11-21,7:40 p.m.,1400 block of 28th Street,A suspect with a firearm walked over to the victim in their car and demanded money. The victim refused to hand over their money and drove away from the area. No injuries have been reported.,N/A,40,Brown,N/A,5 feet 6 inches,Black,Male,Thin build,"Wearing a light colored shirt, ripped denim jeans, dark blue or black baseball hat with Brooklyn Dodgers or LA Clippers logo, and tattoo under his right eye",Firearm,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Attempt Robbery,1935244539cb4fd1
22,Burglary,2024-11-20,N/A,"2600 block of Severance Street, Los Angeles, CA 90007","A suspect pried open a door of a detached garage and took the victim's bicycle and skateboard. The suspect was seen on camera leaving the property on the bicycle while holding the skateboard. A similar burglary was reported at the location on November 6th, however it is unknown whether the same suspect committed the previous burglary.",Blue Schwinn bicycle,N/A,N/A,N/A,6 feet 2 inches,Black,Male,Slim build,"Wearing a dark colored do-rag, dark color DeWalt shirt, dark colored cut off pants, long socks, high top basketball shoes, with dark colored Ogio backpack",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Burglary,1934b2572c8c96e6
23,Robbery,2024-11-06,1:40 p.m.,2600 block of Ellendale Place,Two suspects in a car asked a victim to get into their car in order to sell the victim some clothes. The suspects claimed they are fashion designers. The victim got into their car and shortly after became afraid when the suspect driver started patting down his own pockets. The victim gave the suspects money out of fear and got out of their car. No injuries have been reported. USC community members are advised not to enter into stranger's cars.,White BMW X5 with Nevada license plate number 0864B5,N/A,N/A,Brown,N/A,White,Male,200 pounds,Wearing a suit,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,19305132fac31013
24,Robbery,2024-11-04,11:02 p.m.,Northeast alley behind Cardinal Gardens Apartments,"Two suspects approached two victims, threatened them with a metal pipe, and took their property. A third suspect was seated in the driver seat of an awaiting car and once the robbery was completed, drove away with the two other suspects going westbound in the alley towards Vermont Avenue. No injuries were reported.",White Kia Forte or Toyota Corolla with tinted windows,N/A,N/A,Brown,N/A,Black,Male,200 pounds,"Wearing a mask, black hat, black jacket, and black pants",Metal pipe,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,192fb8870a1f9894
25,Attempted Robbery,2024-11-01,2:39 a.m.,On the sidewalk at the 900 block of West 28th Street,A man approached the victim and lunged at the left front pocket of their pants where they kept their wallet. The man lunged so hard that he pushed the victim towards the street. The man then walked northbound on Hoover Street towards 28th Street. No injuries were reported.,N/A,30,N/A,N/A,N/A,Black,Male,Medium build,"Wearing a gray and white hoodie, a beard, and a mustache",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Attempted Robbery,192e830c1461e8e4
26,Robbery,2024-10-15,5:40 p.m.,On the sidewalk at the 1300 block of 37th Street,A suspect pulled the victim's backpack off of them and entered an awaiting dark colored Nissan. The driver of the Nissan drove away and was last seen going eastbound on 37th street. No injuries have been reported.,Dark colored Nissan,N/A,N/A,Dark,N/A,Black,Female,N/A,Wearing a gray top and dark shorts.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,192932a1027f9d9d
27,Battery,2024-10-13,N/A,Jefferson Boulevard at Watt Way-north sidewalk,"The victim was walking on the north sidewalk of Jefferson Boulevard at Watt Way. The suspect, on a bicycle, exited the University Village and as he rode past the victim, he sprayed her with pepper spray. The suspect was accompanied by a second male, also on a bicycle. The suspect was last seen riding eastbound on the north sidewalk of Jefferson Boulevard.",Bicycle,16,N/A,N/A,N/A,Black,Male,N/A,"Accompanied by a second individual, also riding a bicycle.",Pepper spray,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Other,1928915574194b6f
28,Robbery,2024-10-04,N/A,3335 Figueroa Street,"The victim was walking on the west sidewalk of Figueroa Street, south of 32nd Street. The victim was surrounded by four or five suspects who tripped him and then took a gold necklace from around his neck. The suspects ran eastbound across Figueroa and were last seen running northbound on the east sidewalk of Figueroa.",N/A,18,N/A,N/A,N/A,Black,Male,N/A,Wearing dark colored hoodie sweatshirt,No weapon,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,1925aeeac83d0e1f
29,N/A,2024-09-03,10:25 p.m.,1200 block of West 37th Place,The two victims were walking on the sidewalk of West 37th Place. The suspect approached from behind them and grabbed the buttocks of both victims. The suspect then ran away eastbound on 37th Place. The victims lost sight of him in the area of 37th Place and Catalina Street.,N/A,20,N/A,Black,N/A,Hispanic,Male,N/A,"The suspect was described as having short, black hair. He was wearing a green and white long sleeve shirt and tan or khaki pants.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Sexual Battery/Fondling,191bd91c62a94d2f
30,Robbery,2024-08-22,N/A,"Adams Boulevard and Hoover Street, southwest corner","The victim was walking on the sidewalk when the suspect drove past and yelled at him. The suspect then stopped, exited his vehicle and approached the victim. The suspect placed his hand in his waistband, simulating a weapon. The suspect demanded the victim's neck chain, then attempted to pull it off the victim's neck. The victim resisted and after a brief struggle, the suspect ran back to his car and fled. He was last seen southbound on Hoover Street from Adams Boulevard.","Chevrolet Impala, black",19,N/A,N/A,N/A,Black,Male,N/A,"The suspect was wearing a black ski mask, black shirt and black pants.",Weapon simulated,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,1917c94199de30a7
31,Battery,2024-08-19,10:27 a.m.,3300 block of Figueroa Street,"The victim was walking in the hallway on an upper floor of her apartment complex. The suspect, who did not appear to be a resident of the complex, grabbed the victim by her shoulder and her wrist. He began yelling at the victim in a foreign language, possibly Spanish. A witness assisted the victim and the suspect released the victim. The suspect then walked away down the hall.",N/A,25,N/A,Brown,N/A,Hispanic,Male,150 pounds,"Suspect described as having long, curly hair to his shoulders. He was wearing a brown sweatshirt with a front zipper.",No weapon,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Other,1916d46440d397bd
32,Robbery,2024-08-05,N/A,Jefferson Blvd. at Royal Street,"Three victims were on the south sidewalk of Jefferson Boulevard at Royal Street. The two suspects approached the victims and demanded their property. The suspects then attempted to take the property by force. A struggle resulted and the suspects were able to take several items of property. The suspects ran back to the suspect vehicle, which was parked nearby, and left eastbound on Jefferson Boulevard to the southbound 110 Freeway.","Black, Seven series BMW. Paper license plates",N/A,N/A,N/A,N/A,N/A,Male,N/A,Wearing a white hooded sweatshirt.,No weapon,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,1912534dbc30e022
33,Robbery,2024-08-02,12:55 a.m.,Vermont Avenue and 27th Street,"The victim was walking on the sidewalk when the suspect confronted him and demanded his Airpods. The victim gave him the Airpods. The victim continued walking and the suspect followed him. When the victim arrived at his residence, the suspect asked him if he had anything else. The victim got the suspect a bag of potato chips. After receiving the potato chips, the suspect left the area on a white, electric scooter.","Electric scooter, white.",N/A,N/A,N/A,N/A,"Hispanic, or light complected Black",Male,160,The suspect had a tattoo on the right side of his face. He was wearing a blue hoodie.,No weapon,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,19112c47efc9cdab
34,Lewd Conduct,2024-07-20,3:31 p.m.,"900 block, West 28th Street",The victim was walking on the sidewalk when she noticed the suspect standing in the front yard of a residence. The suspect reached into his pants and began masturbating. The victim left and contacted a nearby witness. The victim and the witness returned to the area of the crime and saw the suspect leaving in the described vehicle. The suspect drove westbound on 28th Street to northbound Hoover Street.,"Nissan Rogue, black. California license plate 8JVV972.",35,N/A,N/A,N/A,Hispanic,Male,N/A,"Suspect was described as wearing a black hat, black shirt and blue jeans.",No weapon,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Lewd Conduct,190d30b86862e281
35,Burglary,2024-07-15,N/A,"700 block, West 28th Street",The suspect entered a private residence and stole an E scooter. The suspect was last seen leaving the residence toward the alley.,"The E scooter is described as a Ninebot, gray with orange high lights on the wheels.",N/A,N/A,Bald,N/A,Hispanic,Male,N/A,The suspect was described as wearing a blue puffy jacket.,No weapon,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Burglary,190b5d41e1729424
36,Aggravated Assault,2024-06-24,N/A,Exposition Boulevard and Vermont Avenue-Metro platform,The victim was waiting on the Metro platform when the suspect walked past her swinging his arms. He stopped and punched her in the face without provocation. The suspect was last seen walking southbound on Vermont Avenue from Exposition Boulevard.,No vehicle involved.,N/A,N/A,N/A,N/A,Black,Male,N/A,Suspect had dreadlocks with a black bandana on top of his head. He was wearing a black tank top and black jeans.,No weapon,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Aggravated Assault,1904cb8bb003f561
37,Burglary,2024-06-23,3:14 a.m.,"700 block of 28th Street, Los Angeles, CA 90007",The suspect entered the victims' home through an unlocked door or window while the victims were inside. The suspect left the location without taking any property. The suspect was last seen heading southbound towards the alley behind the Row. Students and community members are encouraged to lock their doors and windows to prevent such burglaries.,N/A,N/A,N/A,N/A,5 feet 8 inches,Hispanic,Male,160 pounds,"Wearing a red hoodie, dark jeans, and a backpack.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Burglary,19045d3ce0bff30e
38,Robbery,2024-06-08,9:43 a.m.,In front of Max Kade Center 1 located at 2712 Hoover Street,The victim was approached by two suspects from behind who took her cellphone by force and got into an awaiting car. The suspects were last seen going eastbound on 28th Street.,Gray Honda Accord LX with license plate number 5RRK468,15,N/A,Black,5 feet 7 inches,Black,Male,Slim build,"Black hooded sweatshirt with logo on the front, black pants, and black shoes.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,18ff91c844aa2f8a
39,Robbery,2024-06-01,7:48 p.m.,Target Express located at 3131 Hoover Street,The victim attempted to stop the suspect that had just stolen a box of Modelo beer. The suspect sprayed the victim in the face with pepper spray. The suspect was last seen going northbound on Hoover Street.,N/A,35,N/A,Black,5 feet 8 inches,Hispanic,Male,200 pounds,"Wearing a black long-sleeve shirt, blue jeans, black shoes, and holding a box of Modelo beer.",Pepper spray,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,18fd77afa44f0cb3
40,Burglary,2024-05-28,5:58 p.m.,Starbucks located at Cecele & Michael Birnkrant Residence Hall,Multiple suspects entered the Starbucks by pulling hard on the glass double doors and took property. The suspects were last seen running past USC Dworak-Peck School of Social Work.,N/A,16,N/A,Brown,N/A,White or Hispanic,Male,Slim build,"Wearing blue shorts, black long-sleeve sweatshirt with graphics, white shoes, and white socks.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Burglary,18fc2f4fb5d473a2
41,Burglary,2024-05-23,9:10 p.m.,"600 Block of 28th Street, Los Angeles, CA 90007",The suspects entered the victims' home through an unlocked back door while the victims were inside. The suspects stole the victims' property and left the location. The suspects were last seen driving eastbound on 28th Street. Students and community members are encouraged to lock their doors to prevent such burglaries.,Gray Honda Civic,40,N/A,N/A,N/A,Black,Male,N/A,Wearing a black shirt and black pants.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Burglary,18fa9cb66a4dda14
42,Burglary,2024-05-13,12:27 p.m.,1300 block of West 37th Drive,The suspect used a hammer to forcibly enter the victim's home. The suspect stole the victim's property while the victim was in their bedroom. The suspect then left the victim's home and was last seen walking westbound on Exposition Boulevard.,N/A,40,N/A,N/A,5 feet 8 inches,Hispanic,Male,180 pounds,"Wearing a blue hat, black hoodie, blue jeans, white Nike Jordan tennis shoes, and a backpack",Hammer,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Burglary,18f74349707b3647
43,N/A,2024-05-05,6:51 p.m.,In an alleyway near 28th Street & Orchard Street,"The victim was walking down an alleyway when the suspect ran behind her, lifted her skirt, grabbed the top of her leg, and took a picture of her. The suspect then ran away in an unknown direction.",N/A,N/A,N/A,N/A,N/A,Hispanic,Male,N/A,"Wearing a white tank top, black shorts, and a black bag across his chest with ear pods in his ears.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Sexual Battery/Fondling,18f4c80bb922071f
44,Burglary,2024-04-25,8:25 a.m.,University Gateway Apartments located at 3335 Figueroa Street,The suspect entered the victims' apartment through an unsecured front door while victims were inside sleeping. The suspect then stole property and left the location. Students and community members are encouraged to lock their doors to prevent such burglaries.,N/A,25,Uknown,N/A,5 feet 10 inches,Black,Male,185 pounds,"Wearing a red or burgundy hoodie, white khaki pants, gray and black Adidas tennis shoes, and a black backpack.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Burglary,18f190ecf34da9e2
45,Aggravated Assault,2024-04-23,11:20 a.m.,30th Street and Hoover Street,"Following a road rage incident involving the driver of a car and a bicyclist, the bicyclist hit the driver of the car in the head with a bicycle lock. The suspect was last seen going eastbound on 27th Street from Orchard Avenue on foot.",Black bicycle,26,N/A,Black,5 feet 10 inches,White,Male,210 poiunds,"Wearing a cream colored sweatshirt (last seen taken off), white t-shirt, black jeans, white shoes, and a dark backpack.",Bicycle lock,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Aggravated Assault,18f0cb8a73044882
46,Robbery,2024-04-21,10:55 p.m.,"1300 block of 1/2 West 35th Place, Los Angeles, CA 90007",A suspect approached the victim from behind and took the backpack off the victim's back. The suspect was last seen running northbound on Catalina Street.,N/A,N/A,N/A,N/A,5 feet 9 inches,Hispanic,Male,160 pounds,Wearing a dark hoodie.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,18f04d71c37544db
47,Robbery,2024-04-19,11:20 p.m.,Northeast corner of Vermont Avenue and 30th Street,Two suspects approached the victim and tried to grab the cell phone out of the victim's hand. A struggle over the cell phone took place and one of the suspects was eventually able to take the cell phone. The two suspects then entered an awaiting car and were last seen driving southbound on Vermont Avenue from 30th Street.,Black Totoya sedan,13,N/A,Black,N/A,Black,Female,N/A,Wearing a black hoodie and blue jeans.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,18efa974e32fba0e
48,Robbery,2024-04-18,7:20 a.m.,In front of Cardinal Gardens Apartments located at 3131 McClintock Avenue,"Two suspects approached the victim and tried to take the victim's electric scooter. While the female suspect and the victim struggled over the scooter, the male suspect punched the victim in the face and took the scooter. The suspects were last seen going westbound on 30th Street.",Electric scooter,N/A,N/A,N/A,5 feet 6 inches,Hispanic,Female,N/A,Wearing a gray jumper and observed as having freckles.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,18ef2f312fd0319a
49,Robbery,2024-04-17,6:05 p.m.,At the corner of Adams Boulevard and Hoover Street and later in front of Norris Dental Building located at 925 West 34th Street,"At approximately 6:05 p.m., the victim was pushing a stroller with her one-year-old baby on the sidewalk at the southeast corner of Adams Boulevard and Hoover Street. The suspect rode up from behind the victim on a bicycle and stole her cell phone from the stroller's cup holder and fled northbound on Hoover Street without touching the victim or her baby. The suspect was with two others also riding bicycles.",Bicycles,16,Brown,Black,5 feet 8 inches,White or Hispanic,Male,170 pounds,"Wearing navy-blue hooded sweatshirt, blue jean pants with red boxer shorts sticking out, and white and yellow shoes.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,18eef79214d5d75f
88,N/A,2023-09-11,6:02 p.m.,In front of Five Guys Restaurant located at 530 27th Street,A suspect was following a woman walking home for a few blocks. The suspect approached the woman from behind and grabbed her chest. The woman told the suspect to stop and the suspect walked away.,N/A,40,Brown,Black balding hair,5 feet 8 inches,Hispanic,Male,220 pounds,Wearing a tan shirt and black shorts.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Sexual Battery/Fondling,18a879fe3582e495
50,Robbery,2024-04-09,4:35 p.m.,2300 block of Scarff Street,"The suspects approached the victim while walking on Scarff Street. One of the suspects demanded the victim's phone, and when the victim refused, the two struggled over the phone. The suspect was able to get the victim's phone and both suspects were last seen going southbound on Scarff Street towards Adams Boulevard on foot.",N/A,15,N/A,Black,5 feet 5 inches,Black,Male,220 pounds,"Wearing a dark hoodie, dark pants, white socks, and not wearing shoes.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,18ec613845bf4f8c
51,Robbery,2024-04-04,9:49 p.m.,Outside Bank of America at 3201 South Hoover Street,The suspect observed the victim withdrawing money from the Bank of America ATM. The suspect threatened the victim with the knife and demanded the newly withdrawn money. The suspect was last seen going westbound on Jefferson Boulevard on foot.,N/A,25,N/A,Dark brown,N/A,Hispanic,Male,Medium build,"Wearing a black jacket, black pants, black shoes with white laces, and a white bandana around his mouth.",Knife,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,18eacf10b2d3de88
